FIFO,SJF,SRT
Number of processes cases:
k = 1000, d = 50, v = 12, n = 50
840,715,714
675,588,587
697,581,579
821,682,682
855,733,733
817,669,668
816,654,653
750,592,592
771,625,623
703,587,586
713,568,568
872,755,755
808,611,611
721,580,579
867,722,718
805,650,650
869,718,717
763,641,640
815,624,624
743,649,649
729,617,614
849,688,688
821,698,691
743,632,631
720,626,626
792,661,660
762,641,641
779,651,647
786,610,609
793,663,662
819,685,685
825,658,656
721,555,555
735,629,629
813,678,678
857,679,678
858,738,728
710,621,611
736,582,581
836,707,707
669,557,557
825,717,711
770,649,648
795,672,672
732,620,620
771,632,632
890,730,730
721,609,608
801,639,639
846,693,689
685,559,558
752,616,610
812,659,657
782,640,640
758,634,633
812,641,640
760,652,650
871,724,719
807,701,697
717,631,631
740,623,623
830,687,687
735,597,597
836,698,690
843,709,709
814,639,639
749,591,591
830,695,692
867,689,689
804,649,641
777,655,655
823,675,674
766,616,616
820,664,664
807,676,675
870,758,758
839,656,652
696,569,569
782,651,651
832,680,680
821,682,682
765,617,616
763,647,646
742,591,591
778,656,656
678,583,583
793,668,667
853,726,724
718,613,612
746,563,561
811,687,687
808,696,696
805,659,658
952,833,833
791,641,640
827,687,686
735,605,604
931,839,834
809,749,748
750,625,625
716,617,617
773,651,651
768,644,644
862,759,758
824,708,708
806,653,653
789,657,656
859,721,720
701,591,591
910,757,756
835,660,659
753,638,638
856,725,723
824,685,685
695,582,582
683,573,573
748,637,637
780,616,615
739,600,599
677,552,552
867,738,737
787,666,660
764,646,643
750,619,619
716,601,601
820,655,654
870,700,692
710,584,566
677,578,576
780,636,634
727,623,623
772,651,651
774,598,597
817,664,664
800,650,649
632,516,516
740,592,592
836,722,722
805,675,675
868,726,726
750,621,621
668,572,572
758,611,610
841,710,709
839,694,694
766,624,623
728,605,604
787,627,627
761,650,649
676,562,559
890,725,724
609,505,505
767,678,677
625,550,539
800,649,648
767,617,616
841,708,708
731,604,604
862,675,673
760,625,618
747,626,624
821,708,708
747,637,637
762,638,635
882,736,726
688,578,578
771,645,645
767,645,637
825,669,669
707,590,586
842,690,686
843,670,669
744,591,590
812,671,671
789,691,690
868,695,695
797,691,691
830,692,691
771,628,627
701,581,580
773,608,607
743,619,617
794,670,670
800,675,674
821,668,667
677,595,595
626,509,509
747,634,634
753,621,620
857,735,731
712,594,594
758,611,611
761,615,611
796,680,680
749,602,600
758,631,631
820,634,632
857,693,691
782,660,657
700,555,555
789,674,672
789,641,640
787,619,616
763,620,619
673,553,553
759,630,630
774,689,684
853,701,699
777,632,630
822,705,697
780,653,652
651,551,549
723,619,617
709,620,620
897,712,711
727,587,586
867,712,712
779,645,644
600,499,498
658,573,573
787,669,669
647,552,552
781,631,628
862,723,723
866,783,782
763,617,615
773,598,596
887,759,759
740,618,618
804,667,667
830,681,679
807,678,678
851,758,757
751,638,638
709,584,584
700,596,595
741,610,610
725,613,612
734,614,614
